block,day,order,category,task_type,name,passage_ref,focus_en,focus_zh,reading_notes_en,reading_notes_zh,key_idea_en,key_idea_zh,reflection_en,reflection_zh,practice_en,practice_zh,scripture_reference,xp_weight
1,7,1,Mental,devotional,Day 7 — Remember Where You Came From,Ephesians 2:11–12,Why Paul tells us to remember our past — and why that matters.,,"Paul says: remember. Remember what life was like without Christ — cut off from God's people, strangers to his promises, without hope, without God. Five negatives in two verses. Paul isn't trying to make us feel bad — he's setting the stage for us to feel the full weight of what God has done. You can't fully appreciate the rescue if you forget what you were rescued from. And you can't fully understand why the New Human Project is so remarkable if you forget the darkness it breaks into. Grace always looks biggest when you hold it next to what it replaced.",,"Remembering where we came from keeps us humble, grateful, and full of wonder at what God has done.",,What might you start taking for granted about your faith if you forget where you came from?,,"Spend time today in genuine gratitude — not just for what God has given you, but for what he brought you out of.",,,2
1,7,2,Mental,scripture_reading,Read Ephesians 2:11-12,,,,,,,,,,,,Ephesians 2:11-12,1
1,7,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,7,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,8,1,Mental,devotional,Day 8 — One New Humanity,Ephesians 2:13–16,The heart of Ephesians: Jesus has made enemies into family — and created something entirely new.,,"Jews and Gentiles were ancient enemies — divided by religion, history, and a literal wall in the Jerusalem temple that barred Gentiles from the inner courts. Paul says Jesus has torn that wall down in his own body on the cross. And he hasn't just brought two groups closer together. He has created one new humanity. Not Jews who tolerate Gentiles. Not Gentiles who adopt Jewish customs. Something brand new that only exists in Christ. This is the centrepiece of the whole letter — and the very phrase Paul uses. The church is not an organisation. It is a new humanity, called into existence by the cross.",,Jesus didn't just make peace between enemies. He created one new humanity — a community that couldn't exist without him.,,Who are the people most unlike you that Jesus has called you into community with? What makes that hard?,,Think of one person in your church you rarely connect with. Make a small effort to reach out to them this week.,,,2
1,8,2,Mental,scripture_reading,Read Ephesians 2:13-16,,,,,,,,,,,,Ephesians 2:13-16,1
1,8,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,8,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,9,1,Mental,devotional,Day 9 — Everyone Gets Access,Ephesians 2:17–18,"Through Jesus, every person — regardless of background — comes to God the same way.",,"Verse 18 is quietly stunning: through Christ, by the Spirit, both groups now approach the Father. Same door. Same access. Nobody gets a VIP entrance. Nobody is turned away because of where they come from. The New Human Project has no second-class citizens — everyone enters through the same Jesus. And this access is not just vertical (us and God) — it's horizontal (us and each other). You can't genuinely claim to be close to God while keeping other people at arm's length. The two go together.",,"There are no second-class citizens in God's new humanity. Everyone gets the same access, through the same Jesus.",,Is there anyone you've treated — consciously or unconsciously — as less welcome in God's presence than you are?,,Meditate on the word 'access' today. You have been given an open invitation into the Father's presence. Use it.,,,2
1,9,2,Mental,scripture_reading,Read Ephesians 2:17-18,,,,,,,,,,,,Ephesians 2:17-18,1
1,9,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,9,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,10,1,Mental,devotional,Day 10 — You Are God's Home,Ephesians 2:19–22,The church isn't a building where God visits — it's a community where God lives.,,"Paul gives the church three names in four verses: citizens, family, and a temple. That last image is the most striking. In the Old Testament, God's presence was located in the temple — a building. Now Paul says God lives in the community of believers. The new humanity, gathered around Jesus and his word, is where God has chosen to make his home. When people step into a church that is truly living as the new humanity — welcoming, honest, full of grace — they are stepping into the presence of God.",,The church is not a place you go to find God. It's the new humanity God has decided to live in.,,Does your experience of church feel like a place where God is genuinely present? What contributes to that — or gets in the way?,,"Next time you gather with your church family, arrive with this thought: 'God lives here.' See if it changes how you engage.",,,2
1,10,2,Mental,scripture_reading,Read Ephesians 2:19-22,,,,,,,,,,,,Ephesians 2:19-22,1
1,10,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,10,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,11,1,Mental,devotional,Day 11 — The Secret God Kept — Until Now,Ephesians 3:1–13,"The mystery revealed: the gospel is for everyone, and the church proves it.",,"Paul calls the inclusion of the Gentiles a 'mystery' — not something strange or secret, but something hidden in previous generations and now finally disclosed. The revelation is this: everyone is fully included in God's family, not as guests or second-tier members, but as fellow heirs. And the purpose goes even further — the church's unity is meant to be a message to the whole universe that God's reconciling plan is real. The new humanity is not just a community for its own sake. It is a living announcement that the New Human Project is underway.",,Your church's diversity is not a problem to manage. It's the point — a living demonstration to the world that the gospel works.,,What does the mix of people in your church say about the gospel? What might it need to say more clearly?,,"Pray for your church today — not for a program or event, but for genuine unity across every difference.",,,2
1,11,2,Mental,scripture_reading,Read Ephesians 3:1-13,,,,,,,,,,,,Ephesians 3:1-13,1
1,11,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,11,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,12,1,Mental,devotional,Day 12 — Love Too Big to Measure,Ephesians 3:14–19,Paul's great prayer — and the love at the centre of the new humanity.,,"Paul kneels to pray — an unusual posture that signals the weight of what he's about to ask. He prays for three things: inner strength by the Spirit, Christ feeling at home in their hearts, and the capacity to grasp how wide and long and high and deep Christ's love is. Four dimensions — but the point isn't to measure it. The point is that it can't be measured. This love is not a warm feeling; it's the same love that drove Jesus to create the new humanity through the cross. To really know it is to be filled with the fullness of God himself.",,"The new humanity is held together not by rules or culture, but by a love too big to get to the bottom of.",,Do you find it easy or difficult to believe that God loves you personally and deeply? What gets in the way?,,Pray Paul's prayer for yourself today. Ask God to help you grasp — not just know about — how much you are loved.,,,2
1,12,2,Mental,scripture_reading,Read Ephesians 3:14-19,,,,,,,,,,,,Ephesians 3:14-19,1
1,12,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,12,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,13,1,Mental,devotional,Day 13 — More Than We Can Ask or Imagine,Ephesians 3:20–21,The doxology at the heart of Ephesians — and why God's glory comes through the church.,,"Paul closes the first half of his letter with praise. God is able to do far more than we could ever ask or dream up — and this power is already at work inside us. And then this: glory comes to God 'in the church and in Christ Jesus.' Not just through individuals — through the church. When the new humanity lives together in a way the world can't explain, God is glorified. That's the vision. The New Human Project is God's greatest advertisement for his own character — a community of transformed people living as proof that Jesus is real.",,God is glorified when his new humanity lives together in a way that couldn't be explained without him.,,What would your church look like if God did 'far more than you could ask or imagine' in and through it?,,Write a prayer asking God to do something in your church that feels impossible to you. Keep it and pray it for 25 days.,,,2
1,13,2,Mental,scripture_reading,Read Ephesians 3:20-21,,,,,,,,,,,,Ephesians 3:20-21,1
1,13,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,13,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,14,1,Mental,devotional,Day 14 — Now Live Like It,Ephesians 4:1,The great hinge of the letter — from who you are to how you live.,,"One word bridges the two halves of this letter: 'therefore.' Everything Paul has said about who we are — chosen, loved, forgiven, made new, brought into the new humanity — now becomes the basis for how we live. This is not about earning God's approval. It's about living in a way that matches who you already are. Members of the new humanity don't live differently to become something — they live differently because of what they already are. Think of it this way: if you've been rescued, live like someone who's been rescued.",,You don't live the Christian life to join the new humanity. You live it because you're already in it.,,Is there a gap between who you know yourself to be in Christ and how you actually live day to day? Where is that gap most obvious?,,Identify one area where you want to bring your behaviour into line with your identity in Christ. Name it. Pray about it.,,,2
1,14,2,Mental,scripture_reading,Read Ephesians 4:1,,,,,,,,,,,,Ephesians 4:1,1
1,14,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,14,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,15,1,Mental,devotional,Day 15 — Unity Is a Gift — Guard It,Ephesians 4:1–6,The new humanity doesn't manufacture unity — it protects the unity the Spirit has already created.,,"Paul tells the church to 'make every effort to keep the unity of the Spirit.' Notice: keep, not create. Unity is already there — it's the Spirit's work. Our job is to protect it through humility, gentleness, patience, and bearing with one another in love. Then Paul lists seven things all believers share: one body, one Spirit, one hope, one Lord, one faith, one baptism, one God and Father. These seven realities are deeper than any difference that might divide us. The new humanity is held together not by culture, personality, or politics — but by these seven unbreakable things.",,Unity in the new humanity isn't about everyone being the same. It's about letting what we share be bigger than what separates us.,,Which of the seven 'ones' feels most under threat in your church or community right now?,,"Choose one of the four attitudes Paul lists — humility, gentleness, patience, bearing with others — and focus on it intentionally today.",,,2
1,15,2,Mental,scripture_reading,Read Ephesians 4:1-6,,,,,,,,,,,,Ephesians 4:1-6,1
1,15,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,15,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,16,1,Mental,devotional,Day 16 — Everyone Has a Part to Play,Ephesians 4:7–16,Gifts aren't for personal gain — they're for building the whole new humanity up.,,"Christ gave gifts to the church in the form of gifted people: apostles, prophets, evangelists, pastors and teachers. Their job is not to do all the ministry themselves — it's to equip everyone else to do it. The new humanity grows when every member plays their part, not when a few professionals carry the whole load. The goal is maturity — a community so grounded in truth and love that it can't be knocked off course. Mature communities speak truth in love and build each other up. This is what the New Human Project looks like from the inside.",,The new humanity grows when everyone uses their gifts — not when a few people do everything.,,What gift do you bring to the body of Christ? Are you using it — or has it been sitting on the shelf?,,Tell someone in your church this week what gift you see in them. And ask someone what gift they see in you.,,,2
1,16,2,Mental,scripture_reading,Read Ephesians 4:7-16,,,,,,,,,,,,Ephesians 4:7-16,1
1,16,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,16,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,17,1,Mental,devotional,"Day 17 — Take Off the Old, Put On the New",Ephesians 4:17–32,Real change starts in the mind — and works its way out into everyday behaviour.,,"Paul describes the old life as one with a darkened, hardened mindset — cut off from God, losing sensitivity to what's right. The new life begins with a renewed mind. We have to think differently before we live differently. Then Paul gets practical with real contrasts: stop lying, tell the truth. Don't let anger fester. Stop taking, start giving. Cut out talk that tears people down, speak words that build people up. Be kind. Forgive. These aren't suggestions for nice people — they are descriptions of what the new humanity actually looks like from Monday to Saturday.",,"The new humanity isn't just a Sunday identity. It shows up in how you speak, handle conflict, and treat people every day.",,Which of the contrasts Paul lists hits closest to home for you? What's one concrete step toward change?,,Pick one behaviour from this passage to work on this week. Tell someone you trust so they can help keep you accountable.,,,2
1,17,2,Mental,scripture_reading,Read Ephesians 4:17-32,,,,,,,,,,,,Ephesians 4:17-32,1
1,17,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,17,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,18,1,Mental,devotional,Day 18 — Copy God,Ephesians 5:1–7,The extraordinary call to imitate God — and what that actually looks like in daily life.,,"'Imitate God as dearly loved children.' It sounds audacious. But Paul immediately shows us what this means: walk in love, the way Christ loved us and gave himself up for us. The opposite of this is the world's pattern — grabbing, using, consuming — sexual immorality, greed, and coarse talk are all forms of taking rather than giving. And notice what Paul prescribes as the antidote: thanksgiving. Grateful people are not greedy people. Members of the new humanity are marked by generosity, because they know they've already been given everything they need.",,"To be part of the new humanity is to love the way Jesus loved — generously, sacrificially, without keeping score.",,In what relationship or situation do you find it hardest to love generously rather than keep score?,,"Today, do one act of love for someone with no expectation of getting anything back. Do it quietly.",,,2
1,18,2,Mental,scripture_reading,Read Ephesians 5:1-7,,,,,,,,,,,,Ephesians 5:1-7,1
1,18,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,18,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,19,1,Mental,devotional,Day 19 — You Are Light — Live Like It,Ephesians 5:8–14,You're not just living in the light — you actually are light. That changes everything.,,"Paul doesn't just say we live in the light now. He says we are light. Not a dim glow — actual light. And light does two things: it helps you see, and it exposes what's been hiding in the dark. Living as members of the new humanity means producing the fruit of light — goodness, righteousness, truth — and through contrast, naturally exposing what doesn't belong. This isn't about aggressive confrontation. It's about the simple power of a different kind of life. The new humanity shines not by announcing itself, but by simply being different.",,You don't have to announce you're part of the new humanity. A life lived in the light does its own announcing.,,Where in your everyday life does your faith create genuine contrast with the culture around you? Where has it faded into the background?,,Ask God today: 'Where have I blended in when I should have stood out?' Listen honestly to the answer.,,,2
1,19,2,Mental,scripture_reading,Read Ephesians 5:8-14,,,,,,,,,,,,Ephesians 5:8-14,1
1,19,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,19,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,20,1,Mental,devotional,Day 20 — Be Filled with the Spirit,Ephesians 5:15–21,The Spirit-filled life isn't a private experience — it overflows into how the new humanity lives together.,,"Paul compares being drunk with wine to being filled with the Spirit — both involve being 'under the influence' of something outside yourself. But the Spirit leads to wisdom, worship, and community. And the command is continuous: keep on being filled. This isn't a one-time event. The results are communal: singing together, giving thanks together, submitting to one another. Being filled with the Spirit doesn't just affect your private prayer life — it changes how you treat the people around you. The new humanity at its best is a Spirit-filled community that worships loudly and loves humbly.",,You can't be full of the Spirit and stay isolated. The Spirit always spills over into how we live together.,,Is your experience of the Holy Spirit mostly private — or does it regularly overflow into how you treat and serve others?,,"In your next church gathering, engage fully — sing like you mean it, thank God like you mean it, look for someone to encourage.",,,2
1,20,2,Mental,scripture_reading,Read Ephesians 5:15-21,,,,,,,,,,,,Ephesians 5:15-21,1
1,20,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,20,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,21,1,Mental,devotional,Day 21 — A Different Kind of Power,Ephesians 5:21–33,The New Human Project changes how power works in every relationship.,,"Verse 21 is the heading over everything that follows: 'Submit to one another out of reverence for Christ.' Mutual submission is the governing principle of all relationships in the new humanity. When Paul talks about husbands and wives, he's not handing men power — he's calling them to a pattern of love modelled on Jesus, who served and gave himself for the church. That's a far cry from domination. In a world where authority meant power over others, the New Human Project reframes it completely. Authority in the new humanity looks like self-giving love. The question is never 'what can I demand?' but 'how can I serve?'",,The New Human Project doesn't give anyone permission to dominate. It calls everyone — especially the powerful — to serve.,,"In your closest relationships, do you tend to lead with your rights or with your responsibility to love? Be honest.",,"In one relationship this week, look for an opportunity to serve before you seek to be served.",,,2
1,21,2,Mental,scripture_reading,Read Ephesians 5:21-33,,,,,,,,,,,,Ephesians 5:21-33,1
1,21,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,21,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,22,1,Mental,devotional,Day 22 — The Home as the First School,Ephesians 6:1–4,The new humanity starts at home — in how we treat the people closest to us.,,"Paul addresses children directly — which was unusual in his time. Children were moral agents worthy of being spoken to, not just managed. He calls them to honour their parents. But he equally addresses fathers: don't exasperate your children. Don't provoke frustration through harsh or absent parenting. Instead, bring them up with nurture and guidance shaped by God's character. The home is the first classroom of the new humanity. How we treat the most vulnerable people in our homes reveals how deeply the New Human Project has actually taken root in us.",,The new humanity is practiced at home first — in how we treat the people we live with every single day.,,What kind of atmosphere do you create at home? Do the people who live with you experience grace or pressure from you most often?,,"If you have children or young people in your life, ask them how they feel around you. Then really listen to the answer.",,,2
1,22,2,Mental,scripture_reading,Read Ephesians 6:1-4,,,,,,,,,,,,Ephesians 6:1-4,1
1,22,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,22,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,23,1,Mental,devotional,Day 23 — Your Work Is Not Secular,Ephesians 6:5–9,The New Human Project transforms how we see work — every workplace becomes a place of witness.,,"Paul addresses workers as people with dignity and moral agency, and gives them a framework that transforms every job: work 'as to the Lord.' When your ultimate employer is Jesus, no work is meaningless, no task beneath you. You're not just doing a job — you're offering your work to God. And for those with authority: remember you have a Master too, one who shows no favouritism. In God's new humanity, power is always held accountable. The New Human Project doesn't stay in the church building — it follows you into every meeting, every conversation, every task.",,There is no such thing as secular work for someone in the new humanity. Every job is an opportunity to serve Christ.,,How would your attitude to your work shift this week if you genuinely approached it as service offered to Jesus?,,"Before you start work today, offer it to God in a simple prayer. Notice if it changes how you feel about what you're doing.",,,2
1,23,2,Mental,scripture_reading,Read Ephesians 6:5-9,,,,,,,,,,,,Ephesians 6:5-9,1
1,23,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,23,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,24,1,Mental,devotional,Day 24 — Put On the Armour,Ephesians 6:10–20,The new humanity is in a real battle — and God has already provided everything needed to stand firm.,,"Paul ends the letter where he began — with a cosmic perspective. The New Human Project faces real opposition. Behind broken systems, persistent temptation, and relentless discouragement, there are spiritual forces at work. So God gives us armour — but notice, it's mostly defensive. The call is to 'stand firm,' not to charge ahead alone. Truth, righteousness, the gospel of peace, faith, salvation, the Word of God — each piece is something God provides, not something we manufacture. And woven through all of it is prayer: pray at all times, for all the saints. The new humanity stands together or it doesn't stand at all.",,"The new humanity is in a real battle — but not unarmed, and not alone.",,Which piece of the armour do you most consistently forget to put on? What would it look like to do so deliberately each morning?,,Start tomorrow with a simple prayer that puts on each piece of armour. Use Ephesians 6:14–18 as your guide.,,,2
1,24,2,Mental,scripture_reading,Read Ephesians 6:10-20,,,,,,,,,,,,Ephesians 6:10-20,1
1,24,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,24,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,25,1,Mental,devotional,"Day 25 — Grace, Peace — and a Life Forward",Ephesians 6:21–24 · Full Letter,Bringing it all together — what the New Human Project means for your life from here.,,"Paul closes by mentioning Tychicus — not a famous apostle, just a faithful friend who carried the letter and encouraged the churches in person. The new humanity is built by people like that. Ordinary, faithful, showing up. Now go back and read 1:3–14 again with everything you've learned. Four movements: New Life — you have been made alive in Christ. New Society — you've been brought into a community that crosses every divide. New Standards — you're called to live differently, starting in your mind. New Relationships — every relationship is now a place to practise the new humanity. This is the New Human Project. And you are part of it.",,"The New Human Project is built by ordinary people who show up faithfully, love generously, and keep going.",,"After 25 days, what is the one thing from Ephesians you most want to carry into the rest of your life?",,Write down in your own words what the new humanity means to you. Share it with someone in your church this week.,,,2
1,25,2,Mental,scripture_reading,Read Ephesians 6:21-24,,,,,,,,,,,,Ephesians 6:21-24,1
1,25,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,25,4,Physical,exercise,Exercise,,,,,,,,,,,,,
